TestID,Category,Feature,Test Case Name,Preconditions,Steps,Expected Result,Priority,Related Spec
TC-001,Auth,Login,Normal Login,Login page is displayed,"1. Enter o.yasuda@meetsc.co.jp in email field 2. Enter workflow2026 in password field 3. Click Login button",Redirects to dashboard. Sidebar shows ""安田 修"" (Yasuda Osamu),High,SPEC_AUTH
TC-002,Auth,Login,Auto-fill Button,Login page is displayed,1. Click ""Auto-fill login info"" button,Email and password fields are auto-populated,Medium,SPEC_AUTH
TC-003,Auth,Login,Validation (Empty Fields),Login page is displayed,1. Click Login button without entering anything,Validation error messages are displayed,High,SPEC_AUTH
TC-004,Auth,Logout,Normal Logout,Logged in to dashboard,"1. Click username at bottom of sidebar 2. Select Logout",Redirects to login page,High,SPEC_AUTH
TC-005,Auth,Password Change,Forced Password Change,User with must_change_password=true,1. Log in with such user,Redirected to password change page. Direct URL access to other pages also redirects to change page,High,SPEC_PASSWORD_CHANGE
TC-006,Dashboard,KPI Display,KPI Cards Display,Logged in,1. Open dashboard page,"4 KPI cards displayed (This week's tasks, Awaiting assignment, Completion rate, Overdue)",High,SPECIFICATION
TC-007,Dashboard,Period Toggle,Period Toggle Buttons,Dashboard is displayed,"1. Click ""This Week"" ""This Month"" ""All"" in sequence",KPI numbers and displayed data change according to selected period,Medium,SPECIFICATION
TC-008,Dashboard,Tab Switch,Creator/Client Tab Switch,Dashboard is displayed,"1. Click ""By Creator"" tab 2. Click ""By Client"" tab",Workload/task list changes according to selected tab,Medium,SPECIFICATION
TC-009,Dashboard,Burndown,Burndown Chart Display,Dashboard is displayed,1. Scroll down to burndown chart section,Ideal line and actual line are displayed,Medium,SRS_REQ-24
TC-010,Dashboard,Est vs Actual,Estimate vs Actual Chart,Dashboard is displayed,1. Check estimate vs actual chart section 2. Toggle between By Client / By Creator,Chart switches and displays accordingly,Medium,B-019
TC-011,Tasks,List View,Task List Page,Logged in,"1. Click ""Task List"" in sidebar",Task list displayed in table format. Includes migrated tasks (540 items),High,SPECIFICATION
TC-012,Tasks,View Toggle,List/Kanban/Gantt Toggle,Task list is displayed,"1. Click List button 2. Click Kanban button 3. Click Gantt button","Each view switches correctly. Kanban shows status columns, Gantt shows timeline bars",High,SRS_REQ-07/REQ-03
TC-013,Tasks,Create,New Task Request (Step 1),Logged in,"1. Click ""+Task Request"" button 2. Enter client name, task name, description, desired deadline 3. Click ""Save Draft""",Task is created and appears in task list,High,SPECIFICATION
TC-014,Tasks,Assign,Task Assignment (Step 2),Draft task exists,"1. Open task detail 2. Select creator in assignment settings 3. Enter confirmed deadline and estimated hours 4. Click ""Assign & Notify""","Task status changes to ""To Do"". Email notification sent to assignee",High,SPECIFICATION/EMAIL
TC-015,Tasks,Progress Update,Update Progress Rate,Assigned task exists,"1. Open task detail 2. Set progress slider to 50% 3. Enter actual hours 4. Click Update button","Progress and actual hours are saved. Status changes to ""In Progress""",High,SPECIFICATION
TC-016,Tasks,Complete,Complete Task,In-progress task exists,"1. Open task detail 2. Click ""Mark as Done"" button","Status changes to ""Done"". Progress becomes 100%",High,SPECIFICATION
TC-017,Tasks,Reject,Reject Task,In-progress task exists,"1. Open task detail 2. Click ""Reject"" button","Status changes to ""Rejected""",Medium,SPECIFICATION
TC-018,Tasks,Clone,Clone Task,Task exists,"1. Open task detail 2. Click ""Clone"" button","New task created with title ""Copy of ..."" prefix",Medium,SRS_REQ-13
