テストID,カテゴリ,機能,テストケース名,前提条件,手順,期待結果,優先度,関連仕様
TC-001,認証,ログイン,正常ログイン,ログイン画面が表示されている,1. メール欄に o.yasuda@meetsc.co.jp を入力 2. パスワード欄に workflow2026 を入力 3. ログインボタンをクリック,ダッシュボードに遷移する。サイドバーに「安田 修」と表示される,高,SPEC_AUTH
TC-002,認証,ログイン,自動入力ボタン,ログイン画面が表示されている,1. 「ログイン情報を自動入力」ボタンをクリック,メール・パスワードフィールドが自動入力される,中,SPEC_AUTH
TC-003,認証,ログイン,バリデーション（空欄）,ログイン画面が表示されている,1. 何も入力せずにログインボタンをクリック,バリデーションエラーが表示される,高,SPEC_AUTH
TC-004,認証,ログアウト,正常ログアウト,ダッシュボードにログイン済み,1. サイドバー下部のユーザー名をクリック 2. ログアウトを選択,ログイン画面に遷移する,高,SPEC_AUTH
TC-005,認証,パスワード変更,パスワード変更画面,must_change_passwordフラグがtrueのユーザー,1. ログインする,パスワード変更画面にリダイレクトされる。他ページへの直接アクセスも変更画面にリダイレクト,高,SPEC_PASSWORD_CHANGE
TC-006,ダッシュボード,KPI表示,KPIカード表示,ログイン済み,1. ダッシュボードページを開く,4つのKPIカード（今週のタスク数・アサイン待ち・完了率・納期超過）が表示される,高,SPECIFICATION
TC-007,ダッシュボード,期間切替,期間トグル,ダッシュボードが表示されている,1. 「今週」「今月」「全期間」を順にクリック,KPI数値と表示データが期間に応じて変化する,中,SPECIFICATION
TC-008,ダッシュボード,タブ切替,クリエイター/クライアント切替,ダッシュボードが表示されている,1. 「クリエイター別」タブをクリック 2. 「クライアント別」タブをクリック,各タブに応じた稼働状況/タスク一覧が表示される,中,SPECIFICATION
TC-009,ダッシュボード,バーンダウン,バーンダウンチャート表示,ダッシュボードが表示されている,1. 下にスクロールしてバーンダウンチャートを確認,理想ラインと実績ラインが表示される,中,SRS_REQ-24
TC-010,ダッシュボード,見積vs実績,見積vs実績チャート表示,ダッシュボードが表示されている,1. 見積vs実績チャートセクションを確認 2. クライアント別/依頼者別を切り替え,グラフが切り替わり表示される,中,B-019
TC-011,タスク,一覧表示,タスク一覧ページ,ログイン済み,1. サイドバーの「タスク一覧」をクリック,タスク一覧がテーブル形式で表示される。移行タスク（540件）が含まれている,高,SPECIFICATION
TC-012,タスク,ビュー切替,リスト/カンバン/ガント切替,タスク一覧が表示されている,1. リストボタンをクリック 2. カンバンボタンをクリック 3. ガントボタンをクリック,各ビューに切り替わる。カンバンはステータス列表示、ガントは時系列バー表示,高,SRS_REQ-07/REQ-03
TC-013,タスク,新規作成,タスク依頼（Step1）,ログイン済み,1. 「+タスク依頼」ボタンをクリック 2. クライアント名・タスク名・説明・希望納期を入力 3. 「下書き保存」をクリック,タスクが作成される。タスク一覧に表示される,高,SPECIFICATION
TC-014,タスク,アサイン,タスクアサイン（Step2）,下書きタスクが存在する,1. タスク詳細を開く 2. アサイン設定でクリエイターを選択 3. 確定納期・見積時間を入力 4. 「アサインして通知」をクリック,タスクのステータスが「未着手」になる。アサイン先にメール通知が送信される,高,SPECIFICATION/EMAIL
TC-015,タスク,進捗更新,進捗率の変更,アサイン済みタスクが存在する,1. タスク詳細を開く 2. 進捗率スライダーを50%に変更 3. 実績工数を入力 4. 更新ボタンをクリック,進捗率と実績工数が保存される。ステータスが「進行中」になる,高,SPECIFICATION
TC-016,タスク,完了,タスク完了操作,進行中のタスクが存在する,1. タスク詳細を開く 2. 「完了にする」ボタンをクリック,ステータスが「完了」になる。進捗率が100%になる,高,SPECIFICATION
TC-017,タスク,差し戻し,タスク差し戻し,進行中のタスクが存在する,1. タスク詳細を開く 2. 「差し戻し」ボタンをクリック,ステータスが「差し戻し」になる,中,SPECIFICATION
TC-018,タスク,複製,タスク複製,タスクが存在する,1. タスク詳細を開く 2. 「複製」ボタンをクリック,「Copy of 〜」というタイトルで新しいタスクが作成される,中,SRS_REQ-13
TC-019,タスク,一括操作,一括ステータス変更,複数タスクが存在する,1. タスク一覧でチェックボックスを複数選択 2. バルクアクションバーの「ステータス変更」をクリック 3. 「完了」を選択,選択したタスクのステータスが一括で「完了」に変更される,中,B-022
TC-020,タスク,一括操作,一括アサイン,複数タスクが存在する,1. チェックボックスを複数選択 2. 「担当者変更」をクリック 3. メンバーを選択,選択したタスクの担当者が変更される,中,B-022
TC-021,タスク,一括操作,一括削除,複数タスクが存在する,1. チェックボックスを複数選択 2. 「削除」をクリック 3. 確認ダイアログで「削除する」をクリック,選択したタスクが削除される,中,B-022
TC-022,タスク,検索,タスク検索（デバウンス）,タスク一覧が表示されている,1. 検索欄に「バナー」と入力 2. 300ms待つ,検索結果がフィルタリングされ「バナー」を含むタスクのみ表示される,中,B-012
TC-023,タスク,フィルタ,クライアントフィルタ,タスク一覧が表示されている,1. クライアントドロップダウンから特定クライアントを選択,選択クライアントのタスクのみ表示される,中,SPECIFICATION
TC-024,タスク,CSV出力,タスクCSV出力,タスク一覧が表示されている,1. 「CSV出力」ボタンをクリック,CSVファイルがダウンロードされる。日本語文字化けなし（BOM付きUTF-8）,中,B-017
TC-025,タスク,サブタスク,サブタスク作成,タスク詳細が表示されている,1. サブタスクセクションで「追加」をクリック 2. タイトルを入力 3. 追加ボタンをクリック,サブタスクが作成される。WBSコードが自動付与される,中,SRS_REQ-02
TC-026,タスク,依存関係,依存関係追加,タスク詳細が表示されている,1. 依存関係セクションで「追加」をクリック 2. 関連タイプ（ブロック等）を選択 3. 対象タスクを検索・選択,依存関係が表示される,中,SRS_REQ-12
TC-027,タスク,ウォッチャー,ウォッチ/解除,タスク詳細が表示されている,1. 目アイコン（ウォッチ）ボタンをクリック,アイコンが「ウォッチ中」に変わる。再クリックで解除される,低,SRS_REQ-10
TC-028,タスク,工数ログ,工数記録,タスク詳細が表示されている,1. 工数記録セクションで時間・日付・内容を入力 2. 「記録する」をクリック,工数が記録される。合計時間が更新される,中,SRS_REQ-17
TC-029,タスク,コメント,コメント投稿,タスク詳細が表示されている,1. コメント欄にテキストを入力 2. 「送信」をクリック,コメントが表示される。タイムスタンプとユーザー名が付く,中,SPECIFICATION
